Date,Action,Action_Name,group
2021-09-13,1,BUY,1
2021-09-14,1,BUY,1
2021-09-15,1,BUY,1
2021-09-16,0,HOLD,2
2021-09-17,0,HOLD,2
2021-09-20,0,HOLD,2
2021-09-21,1,BUY,3
2021-09-22,1,BUY,3
2021-09-23,1,BUY,3
2021-09-24,0,HOLD,4
2021-09-27,0,HOLD,4
2021-09-28,0,HOLD,4
2021-09-29,0,HOLD,4
2021-09-30,0,HOLD,4
2021-10-01,1,BUY,5
2021-10-04,1,BUY,5
2021-10-05,1,BUY,5
2021-10-06,1,BUY,5
2021-10-07,1,BUY,5
2021-10-08,1,BUY,5
2021-10-11,0,HOLD,6
2021-10-12,0,HOLD,6
2021-10-13,1,BUY,7
2021-10-14,0,HOLD,8
2021-10-15,1,BUY,9
2021-10-18,1,BUY,9
2021-10-19,1,BUY,9
2021-10-20,1,BUY,9
2021-10-21,1,BUY,9
2021-10-22,1,BUY,9
2021-10-25,0,HOLD,10
2021-10-26,0,HOLD,10
2021-10-27,2,SELL,11
2021-10-28,1,BUY,12
2021-10-29,0,HOLD,13
2021-11-01,1,BUY,14
2021-11-02,0,HOLD,15
2021-11-03,2,SELL,16
2021-11-04,1,BUY,17
2021-11-05,2,SELL,18
2021-11-08,1,BUY,19
2021-11-09,1,BUY,19
2021-11-10,1,BUY,19
2021-11-11,2,SELL,20
2021-11-12,1,BUY,21
2021-11-15,0,HOLD,22
2021-11-16,2,SELL,23
2021-11-17,1,BUY,24
2021-11-18,0,HOLD,25
2021-11-19,1,BUY,26
2021-11-22,1,BUY,26
2021-11-23,1,BUY,26
2021-11-24,1,BUY,26
2021-11-26,1,BUY,26
2021-11-29,1,BUY,26
2021-11-30,1,BUY,26
2021-12-01,1,BUY,26
2021-12-02,1,BUY,26
2021-12-03,1,BUY,26
2021-12-06,1,BUY,26
2021-12-07,1,BUY,26
2021-12-08,1,BUY,26
2021-12-09,1,BUY,26
2021-12-10,1,BUY,26
2021-12-13,1,BUY,26
2021-12-14,1,BUY,26
2021-12-15,1,BUY,26
2021-12-16,1,BUY,26
2021-12-17,1,BUY,26
2021-12-20,1,BUY,26
2021-12-21,1,BUY,26
2021-12-22,1,BUY,26
2021-12-23,1,BUY,26
2021-12-27,1,BUY,26
2021-12-28,1,BUY,26
2021-12-29,1,BUY,26
2021-12-30,1,BUY,26
2021-12-31,1,BUY,26
2022-01-03,1,BUY,26
2022-01-04,1,BUY,26
2022-01-05,1,BUY,26
2022-01-06,1,BUY,26
2022-01-07,1,BUY,26
2022-01-10,1,BUY,26
2022-01-11,1,BUY,26
2022-01-12,1,BUY,26
2022-01-13,1,BUY,26
