step,price,action,action_name,q_hold,q_buy,q_sell
0,104.87310028076172,1,BUY,21111.059,21370.152,21150.191
1,104.8544692993164,1,BUY,21532.074,21554.674,21524.059
2,104.79856872558594,1,BUY,21619.148,21663.63,21611.13
3,106.44699096679688,1,BUY,21662.572,21752.553,21674.555
4,105.48773956298828,1,BUY,21652.307,21733.592,21655.594
5,104.17462158203124,1,BUY,21804.295,21894.309,21829.59
6,101.97677612304688,1,BUY,21916.062,22010.844,21941.36
7,101.79981994628906,1,BUY,21862.531,21977.734,21887.83
8,100.82196044921876,1,BUY,22000.258,22117.246,22020.701
9,97.66487121582033,1,BUY,21801.203,22074.98,21950.93
10,96.8639678955078,1,BUY,21924.543,22125.334,22010.129
11,97.16195678710938,1,BUY,21862.41,21942.682,21918.91
12,98.28881072998048,1,BUY,21952.559,21969.82,21966.854
13,94.89893341064452,0,HOLD,21917.953,21909.639,21905.383
14,96.91983032226562,0,HOLD,21850.766,21850.766,21850.766
15,93.91175842285156,0,HOLD,21850.766,21850.766,21850.766
16,94.11664581298828,0,HOLD,21850.766,21850.766,21850.766
17,93.82794189453124,2,SELL,21380.795,21388.453,21417.652
18,93.92105865478516,0,HOLD,21335.74,21243.693,21284.45
19,96.64044189453124,0,HOLD,21124.648,21052.209,21097.023
20,95.20624542236328,0,HOLD,21155.58,21084.67,21129.508
21,96.06304168701172,0,HOLD,21111.049,21038.605,21083.424
22,93.66962432861328,0,HOLD,21159.617,21087.164,21131.98
23,94.9920425415039,0,HOLD,21242.3,21195.416,21228.96
24,96.97570037841795,0,HOLD,21246.139,21199.71,21233.217
25,97.2364730834961,0,HOLD,21146.312,21073.785,21118.604
26,95.13175964355467,0,HOLD,20903.398,20852.615,20878.303
27,94.67543029785156,0,HOLD,20896.848,20841.393,20867.084
28,94.66613006591795,0,HOLD,20853.734,20802.996,20830.045
29,91.37864685058594,0,HOLD,20807.016,20794.479,20783.562
30,89.98167419433594,1,BUY,20795.746,20797.281,20786.365
31,89.70230865478516,0,HOLD,20864.973,20855.467,20855.684
32,90.04685974121094,0,HOLD,21039.512,20950.996,20998.732
33,89.91650390625,0,HOLD,20909.916,20871.338,20871.553
34,91.28549194335938,0,HOLD,21075.266,21043.152,21060.803
35,93.34368896484376,0,HOLD,21160.809,21098.557,21143.605
36,95.45770263671876,0,HOLD,21195.57,21146.965,21181.053
37,94.36808013916016,0,HOLD,21218.938,21170.736,21204.504
38,94.64747619628906,0,HOLD,21219.506,21171.312,21205.07
39,96.18408966064452,0,HOLD,21253.086,21207.473,21240.162
40,94.60092163085938,0,HOLD,21286.137,21243.195,21273.219
41,95.50426483154295,0,HOLD,21309.488,21251.242,21281.266
42,96.44486236572266,0,HOLD,21265.676,21221.535,21252.75
43,96.32380676269533,0,HOLD,21450.49,21359.305,21421.135
44,95.45770263671876,0,HOLD,21433.086,21345.793,21403.729
45,98.52167510986328,0,HOLD,21431.395,21344.484,21402.04
46,98.55891418457033,0,HOLD,21350.281,21270.938,21327.498
47,98.37265014648438,0,HOLD,21372.41,21283.486,21349.625
48,98.40991973876952,2,SELL,21511.541,21457.547,21519.832
49,97.80455780029295,0,HOLD,21283.406,21217.799,21258.223
50,96.99435424804688,0,HOLD,21295.008,21229.518,21269.938
51,97.6183090209961,0,HOLD,21247.123,21178.66,21222.06
52,97.46929931640624,0,HOLD,21351.256,21270.625,21317.0
53,99.1735610961914,0,HOLD,21361.678,21280.268,21327.016
54,99.34119415283205,0,HOLD,21685.316,21508.184,21571.934
55,99.30396270751952,0,HOLD,21765.676,21498.355,21702.965
56,100.18869018554688,0,HOLD,21783.615,21658.977,21749.516
57,100.1328125,0,HOLD,21764.28,21637.35,21755.527
58,100.28971862792967,0,HOLD,21698.533,21501.762,21599.715
59,100.68202209472656,0,HOLD,21850.766,21732.719,21850.766
60,100.99026489257812,2,SELL,21745.158,21488.53,21749.754
61,100.15894317626952,0,HOLD,21850.766,21709.164,21850.766
62,100.1869659423828,2,SELL,21850.766,21577.129,21922.44
63,100.04689025878906,1,BUY,21901.53,21922.055,21912.844
64,101.65345001220705,1,BUY,21926.459,21948.95,21936.004
65,102.14850616455078,1,BUY,21850.766,21892.676,21850.766
66,101.99903869628906,1,BUY,21850.766,21940.021,21910.455
67,103.08255004882812,0,HOLD,21922.072,21912.09,21902.438
68,102.6902847290039,1,BUY,21903.725,21921.105,21911.707
69,101.7001495361328,0,HOLD,21948.574,21565.838,21879.56
70,103.37210845947266,0,HOLD,21709.973,21495.234,21571.316
71,101.88695526123048,0,HOLD,21538.6,21393.799,21499.682
72,101.81224822998048,0,HOLD,21377.98,21253.205,21358.832
73,101.43861389160156,0,HOLD,21297.09,21191.727,21267.408
74,102.28860473632812,0,HOLD,21467.375,21335.074,21428.457
75,103.5962905883789,0,HOLD,21431.668,21320.357,21392.754
76,103.60562133789062,0,HOLD,21462.117,21346.389,21423.219
77,103.34408569335938,0,HOLD,21376.668,21229.58,21344.004
78,103.89519500732422,0,HOLD,21147.723,21104.244,21120.1
79,103.26002502441406,0,HOLD,21164.969,21106.266,21137.348
80,103.34408569335938,0,HOLD,21108.855,21066.842,21101.252
81,103.35343933105467,0,HOLD,21054.752,21024.29,21046.707
82,101.7935562133789,0,HOLD,21059.46,21009.168,21043.248
83,101.7935562133789,0,HOLD,21034.645,21026.324,21018.965
84,101.29850006103516,0,HOLD,21000.812,21000.633,20985.137
85,100.48587036132812,0,HOLD,21084.3,21002.377,21050.861
86,99.27159881591795,1,BUY,21003.164,21015.742,21014.945
