Date,Action,Action_Name
2021-09-17,0,HOLD
2021-09-24,0,HOLD
2021-10-01,1,BUY
2021-10-08,1,BUY
2021-10-15,1,BUY
2021-10-22,1,BUY
2021-10-29,0,HOLD
2021-11-05,2,SELL
2021-11-12,1,BUY
2021-11-19,1,BUY
2021-11-26,1,BUY
2021-12-03,1,BUY
2021-12-10,1,BUY
2021-12-17,1,BUY
2021-12-31,1,BUY
2022-01-07,1,BUY
2022-01-14,1,BUY
2022-01-21,1,BUY
2022-01-28,0,HOLD
2022-02-04,0,HOLD
2022-02-11,0,HOLD
2022-02-18,0,HOLD
2022-02-25,0,HOLD
2022-03-04,0,HOLD
2022-03-11,0,HOLD
2022-03-18,1,BUY
2022-03-25,1,BUY
2022-04-01,1,BUY
2022-04-08,1,BUY
2022-04-22,1,BUY
2022-04-29,1,BUY
2022-05-06,0,HOLD
2022-05-13,1,BUY
2022-05-20,1,BUY
2022-05-27,2,SELL
2022-06-03,2,SELL
2022-06-10,2,SELL
2022-06-17,2,SELL
2022-06-24,2,SELL
2022-07-01,0,HOLD
2022-07-08,0,HOLD
2022-07-15,2,SELL
2022-07-22,2,SELL
2022-07-29,0,HOLD
2022-08-05,2,SELL
2022-08-12,2,SELL
2022-08-19,0,HOLD
2022-08-26,0,HOLD
2022-09-02,0,HOLD
2022-09-09,0,HOLD
2022-09-16,1,BUY
2022-09-23,0,HOLD
2022-09-30,2,SELL
2022-10-07,0,HOLD
2022-10-14,2,SELL
2022-10-21,0,HOLD
2022-10-28,0,HOLD
2022-11-04,2,SELL
2022-11-11,0,HOLD
2022-11-18,0,HOLD
2022-11-25,2,SELL
2022-12-02,2,SELL
2022-12-09,2,SELL
2022-12-16,2,SELL
2022-12-23,0,HOLD
2022-12-30,2,SELL
2023-01-06,2,SELL
2023-01-13,2,SELL
2023-01-20,2,SELL
2023-01-27,2,SELL
2023-02-03,1,BUY
2023-02-10,0,HOLD
2023-02-17,2,SELL
2023-02-24,2,SELL
2023-03-03,2,SELL
2023-03-10,2,SELL
2023-03-17,1,BUY
2023-03-24,1,BUY
2023-03-31,0,HOLD
2023-04-14,0,HOLD
2023-04-21,0,HOLD
2023-04-28,0,HOLD
2023-05-05,0,HOLD
2023-05-12,0,HOLD
2023-05-19,0,HOLD
2023-05-26,0,HOLD
2023-06-02,0,HOLD
2023-06-09,0,HOLD
2023-06-16,0,HOLD
2023-06-23,0,HOLD
2023-06-30,0,HOLD
2023-07-07,0,HOLD
2023-07-14,0,HOLD
2023-07-21,0,HOLD
2023-07-28,0,HOLD
2023-08-04,0,HOLD
2023-08-11,0,HOLD
2023-08-18,0,HOLD
2023-08-25,0,HOLD
2023-09-01,0,HOLD
2023-09-08,0,HOLD
2023-09-15,0,HOLD
2023-09-22,0,HOLD
2023-09-29,0,HOLD
2023-10-06,0,HOLD
2023-10-13,0,HOLD
2023-10-20,0,HOLD
2023-10-27,0,HOLD
2023-11-03,0,HOLD
2023-11-10,0,HOLD
2023-11-17,0,HOLD
2023-11-24,2,SELL
2023-12-01,2,SELL
2023-12-08,2,SELL
2023-12-15,0,HOLD
2023-12-22,2,SELL
2023-12-29,2,SELL
2024-01-05,2,SELL
2024-01-12,0,HOLD
2024-01-19,2,SELL
2024-01-26,2,SELL
2024-02-02,2,SELL
2024-02-09,0,HOLD
2024-02-16,2,SELL
2024-02-23,2,SELL
2024-03-01,0,HOLD
2024-03-08,0,HOLD
2024-03-15,0,HOLD
2024-03-22,0,HOLD
2024-04-05,0,HOLD
2024-04-12,0,HOLD
2024-04-19,0,HOLD
2024-04-26,0,HOLD
2024-05-03,0,HOLD
2024-05-10,0,HOLD
2024-05-17,0,HOLD
2024-05-24,0,HOLD
2024-05-31,0,HOLD
2024-06-07,0,HOLD
2024-06-14,0,HOLD
2024-06-21,0,HOLD
2024-06-28,0,HOLD
2024-07-05,0,HOLD
2024-07-12,2,SELL
2024-07-19,2,SELL
2024-07-26,2,SELL
2024-08-02,0,HOLD
2024-08-09,2,SELL
2024-08-16,0,HOLD
2024-08-23,2,SELL
2024-08-30,0,HOLD
2024-09-06,0,HOLD
2024-09-13,0,HOLD
2024-09-20,0,HOLD
2024-09-27,0,HOLD
2024-10-04,0,HOLD
2024-10-11,0,HOLD
2024-10-18,0,HOLD
2024-10-25,0,HOLD
2024-11-01,2,SELL
2024-11-08,2,SELL
2024-11-15,0,HOLD
2024-11-22,2,SELL
2024-11-29,2,SELL
2024-12-06,2,SELL
2024-12-13,2,SELL
2024-12-20,2,SELL
2024-12-27,2,SELL
2025-01-03,2,SELL
2025-01-10,0,HOLD
2025-01-17,0,HOLD
2025-01-24,0,HOLD
2025-01-31,0,HOLD
2025-02-07,0,HOLD
2025-02-14,0,HOLD
2025-02-21,0,HOLD
2025-02-28,0,HOLD
2025-03-07,0,HOLD
2025-03-14,0,HOLD
2025-03-21,0,HOLD
2025-03-28,0,HOLD
2025-04-04,0,HOLD
2025-04-11,0,HOLD
2025-04-25,0,HOLD
2025-05-02,2,SELL
2025-05-09,0,HOLD
2025-05-16,2,SELL
2025-05-23,2,SELL
2025-05-30,2,SELL
2025-06-06,2,SELL
2025-06-13,2,SELL
2025-06-20,2,SELL
2025-06-27,2,SELL
2025-07-11,2,SELL
2025-07-18,0,HOLD
2025-07-25,2,SELL
2025-08-01,0,HOLD
2025-08-08,0,HOLD
2025-08-15,0,HOLD
2025-08-22,0,HOLD
2025-08-29,0,HOLD
2025-09-05,1,BUY
2025-09-12,2,SELL
2025-09-19,0,HOLD
2025-09-26,0,HOLD
2025-10-03,0,HOLD
2025-10-10,0,HOLD
2025-10-17,0,HOLD
2025-10-24,0,HOLD
2025-10-31,0,HOLD
2025-11-07,0,HOLD
2025-11-14,0,HOLD
2025-11-21,0,HOLD
2025-11-28,0,HOLD
2025-12-05,0,HOLD
2025-12-12,0,HOLD
2025-12-19,0,HOLD
2025-12-26,0,HOLD
2026-01-02,0,HOLD
2026-01-09,0,HOLD
2026-01-16,0,HOLD
