entry_day,exit_day,entry_price,exit_price,action,period_return,capital
0,5,105.8907470703125,106.26213836669922,BUY,0.35073064140355087,10035.073064140353
5,10,106.26213836669922,104.8137435913086,BUY,-1.3630393643993595,9898.291068029885
10,15,104.8137435913086,105.82574462890624,BUY,0.9655232252209714,9993.861367191685
15,20,105.82574462890624,104.87310028076172,HOLD,0.0,9993.861367191685
20,25,104.87310028076172,104.17462158203124,HOLD,0.0,9993.861367191685
25,30,104.17462158203124,96.8639678955078,HOLD,0.0,9993.861367191685
30,35,96.8639678955078,93.91175842285156,BUY,-3.047789117869854,9689.269547987416
35,40,93.91175842285156,95.20624542236328,HOLD,0.0,9689.269547987416
40,45,95.20624542236328,97.2364730834961,HOLD,0.0,9689.269547987416
45,50,97.2364730834961,89.98167419433594,HOLD,0.0,9689.269547987416
50,55,89.98167419433594,93.34368896484376,HOLD,0.0,9689.269547987416
55,60,93.34368896484376,94.60092163085938,HOLD,0.0,9689.269547987416
60,65,94.60092163085938,98.52167510986328,SELL,-4.144519325406797,9287.695899080323
65,70,98.52167510986328,96.99435424804688,BUY,-1.5502384222692758,9143.714468709251
70,75,96.99435424804688,99.30396270751952,HOLD,0.0,9143.714468709251
75,80,99.30396270751952,100.99026489257812,HOLD,0.0,9143.714468709251
80,85,100.99026489257812,102.14850616455078,HOLD,0.0,9143.714468709251
85,90,102.14850616455078,103.37210845947266,HOLD,0.0,9143.714468709251
90,95,103.37210845947266,103.5962905883789,HOLD,0.0,9143.714468709251
95,100,103.5962905883789,103.34408569335938,SELL,0.24344973510839468,9165.974817362392
100,105,103.34408569335938,100.48587036132812,SELL,2.7657270494531176,9419.480662232245
105,110,100.48587036132812,98.12272644042967,HOLD,0.0,9419.480662232245
110,115,98.12272644042967,99.3463134765625,HOLD,0.0,9419.480662232245
115,120,99.3463134765625,98.8792953491211,HOLD,0.0,9419.480662232245
120,125,98.8792953491211,102.03639221191406,HOLD,0.0,9419.480662232245
125,130,102.03639221191406,103.28802490234376,HOLD,0.0,9419.480662232245
130,135,103.28802490234376,102.92374420166016,HOLD,0.0,9419.480662232245
135,140,102.92374420166016,100.9155502319336,HOLD,0.0,9419.480662232245
140,145,100.9155502319336,101.86799621582033,SELL,-0.9438049752468595,9330.57913509968
145,150,101.86799621582033,100.71604919433594,HOLD,0.0,9330.57913509968
150,155,100.71604919433594,103.30093383789062,SELL,-2.566507189501687,9091.109150775203
155,160,103.30093383789062,104.70573425292967,HOLD,0.0,9091.109150775203
160,165,104.70573425292967,106.4383316040039,HOLD,0.0,9091.109150775203
165,170,106.4383316040039,107.91807556152344,HOLD,0.0,9091.109150775203
170,175,107.91807556152344,109.3697280883789,HOLD,0.0,9091.109150775203
175,180,109.3697280883789,109.7630844116211,SELL,-0.3596574025715107,9058.412303738583
180,185,109.7630844116211,109.81928253173828,HOLD,0.0,9058.412303738583
185,190,109.81928253173828,109.3697280883789,HOLD,0.0,9058.412303738583
190,195,109.3697280883789,109.68817138671876,HOLD,0.0,9058.412303738583
195,200,109.68817138671876,108.94830322265624,HOLD,0.0,9058.412303738583
200,205,108.94830322265624,109.64374542236328,SELL,-0.6383231120963667,9000.59036441484
205,210,109.64374542236328,110.16951751708984,SELL,-0.4795276672656646,8957.430043400223
210,215,110.16951751708984,111.30558013916016,SELL,-1.0311950598259476,8865.061467305315
215,220,111.30558013916016,111.93463897705078,SELL,-0.5651637924209569,8814.959349716244
220,225,111.93463897705078,109.68131256103516,SELL,2.0130733762205724,8992.410949510047
225,230,109.68131256103516,112.26323699951172,HOLD,0.0,8992.410949510047
230,235,112.26323699951172,109.84089660644533,HOLD,0.0,8992.410949510047
235,240,109.84089660644533,109.239990234375,HOLD,0.0,8992.410949510047
240,245,109.239990234375,107.62513732910156,HOLD,0.0,8992.410949510047
245,250,107.62513732910156,111.29615783691406,HOLD,0.0,8992.410949510047
250,255,111.29615783691406,111.67174530029295,HOLD,0.0,8992.410949510047
255,260,111.67174530029295,109.73765563964844,HOLD,0.0,8992.410949510047
260,265,109.73765563964844,113.09886169433594,HOLD,0.0,8992.410949510047
265,270,113.09886169433594,113.51808166503906,SELL,-0.37066683468143147,8959.079064481952
270,275,113.51808166503906,112.88713836669922,BUY,-0.5558086333784124,8909.283729570363
275,280,112.88713836669922,113.81939697265624,HOLD,0.0,8909.283729570363
280,285,113.81939697265624,115.58033752441406,BUY,1.5471357243096902,9047.122440930656
285,290,115.58033752441406,116.06056213378906,BUY,0.41548988319363755,9084.712319392864
290,295,116.06056213378906,118.46183776855467,BUY,2.0689850114611157,9272.673655615463
295,300,118.46183776855467,118.34881591796876,BUY,-0.09540781463033353,9263.826800322837
300,305,118.34881591796876,119.94966888427734,BUY,1.352656512776757,9389.134556869763
305,310,119.94966888427734,122.23790740966795,BUY,1.9076655622936416,9568.24784340858
310,315,122.23790740966795,122.81231689453124,BUY,0.4699110914408949,9613.210101281313
315,320,122.81231689453124,123.10423278808594,BUY,0.23769268501415314,9636.059998487099
320,325,123.10423278808594,123.93292999267578,BUY,0.6731671087349039,9700.926784974876
325,330,123.93292999267578,124.37943267822266,BUY,0.36027768049481484,9735.877058982285
330,335,124.37943267822266,123.4640884399414,BUY,-0.7359289382267103,9664.227922315058
335,340,123.4640884399414,124.84178924560548,BUY,1.1158716863116465,9772.068305400795
340,345,124.84178924560548,124.5776138305664,BUY,-0.2116081615262302,9751.389811316649
345,350,124.5776138305664,123.87928771972656,BUY,-0.5605550542889771,9696.727902865892
350,355,123.87928771972656,127.51224517822266,BUY,2.93265930517421,9981.099896006714
355,360,127.51224517822266,129.68255615234375,BUY,1.7020412205021336,10150.982330496243
360,365,129.68255615234375,130.5224609375,HOLD,0.0,10150.982330496243
365,370,130.5224609375,131.7491455078125,BUY,0.93982641876473,10246.383944202387
370,375,131.7491455078125,131.29615783691406,BUY,-0.3438258890806818,10211.154223507612
375,380,131.29615783691406,133.32505798339844,BUY,1.5452852390429566,10368.945682459387
380,385,133.32505798339844,135.33497619628906,BUY,1.507532224843209,10525.260879998952
385,390,135.33497619628906,131.871826171875,HOLD,0.0,10525.260879998952
390,395,131.871826171875,133.16783142089844,BUY,0.9827764478928883,10628.700665006865
395,400,133.16783142089844,132.486572265625,BUY,-0.5115793716879026,10574.326424926236
400,405,132.486572265625,128.9572296142578,BUY,-2.66392479706633,10292.634321169888
405,410,128.9572296142578,133.4232940673828,BUY,3.4632137077417657,10649.090243868377
410,415,133.4232940673828,136.41329956054688,HOLD,0.0,10649.090243868377
415,420,136.41329956054688,136.21458435058594,BUY,-0.14567143423778706,10633.577561376858
420,425,136.21458435058594,135.67527770996094,BUY,-0.39592430076132307,10591.476643771064
425,430,135.67527770996094,133.44219970703125,BUY,-1.645898973358608,10417.15163842772
430,435,133.44219970703125,133.72605895996094,BUY,0.21272075366929863,10439.311081903857
435,440,133.72605895996094,134.61549377441406,BUY,0.6651170470218012,10508.744719501236
440,445,134.61549377441406,138.33404541015625,BUY,2.762350403716278,10799.033071685892
445,450,138.33404541015625,136.4511260986328,HOLD,0.0,10799.033071685892
450,455,136.4511260986328,138.2015838623047,BUY,1.282845963767692,10937.568031571951
455,460,138.2015838623047,136.85409545898438,BUY,-0.9750166138926921,10830.92492610831
460,465,136.85409545898438,137.9256591796875,BUY,0.7829971891665283,10915.730763840475
465,470,137.9256591796875,140.02134704589844,BUY,1.5194329167430016,11081.587970169308
470,475,140.02134704589844,140.66615295410156,BUY,0.4605054313552349,11132.619284652346
475,480,140.66615295410156,141.01699829101562,BUY,0.2494170271568748,11160.38593271682
480,485,141.01699829101562,143.41615295410156,BUY,1.701323026416164,11350.260148427042
485,490,143.41615295410156,145.34107971191406,BUY,1.3421966202290667,11502.602956526436
490,495,145.34107971191406,145.72988891601562,BUY,0.2675150101211823,11533.374145989788
495,500,145.72988891601562,145.98593139648438,BUY,0.1756966140393531,11553.637893848783
500,505,145.98593139648438,148.11001586914062,BUY,1.4549925820505483,11721.742468161265
505,510,148.11001586914062,144.81005859375,BUY,-2.2280446437236425,11460.576812948317
510,515,144.81005859375,147.83505249023438,BUY,2.088939073611378,11699.98128005524
515,520,147.83505249023438,150.74789428710938,BUY,1.9703323046930399,11930.509790859207
520,525,150.74789428710938,148.73333740234375,BUY,-1.336374809275125,11771.073463396062
525,530,148.73333740234375,152.06874084472656,BUY,2.242539232048627,12035.044403845983
530,535,152.06874084472656,154.11172485351562,BUY,1.3434608568733402,12196.730514518978
535,540,154.11172485351562,157.57073974609375,BUY,2.244485223863366,12470.484328711791
540,545,157.57073974609375,159.97488403320312,BUY,1.5257555374705758,12660.753433906513
545,550,159.97488403320312,159.60421752929688,BUY,-0.23170293646177445,12631.418096421967
550,555,159.60421752929688,145.8161163330078,BUY,-8.63893286138139,11540.198367631694
555,560,145.8161163330078,157.45668029785156,BUY,7.983043478033383,12461.45742077103
560,565,157.45668029785156,159.8037872314453,HOLD,0.0,12461.45742077103
565,570,159.8037872314453,157.73226928710938,HOLD,0.0,12461.45742077103
570,575,157.73226928710938,164.54554748535156,BUY,4.319520811458331,12999.732667472252
575,580,164.54554748535156,162.51197814941406,HOLD,0.0,12999.732667472252
580,585,162.51197814941406,150.8687286376953,BUY,-7.164548511626576,12068.360514129434
585,590,150.8687286376953,148.01336669921875,BUY,-1.8926135086175415,11839.953092770354
590,595,148.01336669921875,150.12631225585938,BUY,1.4275369878819044,12008.972802517517
595,600,150.12631225585938,154.7615966796875,BUY,3.0875896131573777,12379.760599414943
600,605,154.7615966796875,154.08578491210938,BUY,-0.4366792421874938,12325.700754644791
605,610,154.08578491210938,153.1815643310547,BUY,-0.5868293311874652,12253.36992734214
610,615,153.1815643310547,158.22605895996094,BUY,3.2931473515991336,12656.891454586053
615,620,158.22605895996094,161.56690979003906,BUY,2.1114415994672067,12924.134325957593
620,625,161.56690979003906,160.28192138671875,BUY,-0.7953289476107408,12821.344944435155
625,630,160.28192138671875,160.82447814941406,BUY,0.338501534047788,12864.745393757628
630,635,160.82447814941406,166.41151428222656,BUY,3.473996121176194,13311.666149735962
635,640,166.41151428222656,167.3538055419922,BUY,0.5662416232614413,13387.04234422537
640,645,167.3538055419922,167.87413024902344,BUY,0.31091298183876126,13428.66439675782
645,650,167.87413024902344,164.12557983398438,BUY,-2.232952992506044,13128.808633256824
650,655,164.12557983398438,162.91421508789062,BUY,-0.73807187601047,13031.90858907952
655,660,162.91421508789062,168.2747344970703,BUY,3.290393908406176,13460.709715443652
